Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access
Myra,"DAV College, Jalandhar ",Commerce,4,Gemini,3.8,"Exam Prep, Notes",3,0,Yes,Copilot,6,Yes,Punjab,Laptop,Medium
Aadhya,Nilamber Pitamber University ,Commerce,3,Gemini,2.2,"Doubt Solving, Resume Writing",3,3,No,Copilot,4,Yes,Jharkhand,Mobile,Poor
Riya,Modern Vidya Niketan ,Commerce,2,ChatGPT,1.3,"Assignments, Coding Help",4,0,Yes,Gemini,9,No,Haryana,Mobile,High
Pari,"Govt Engineering College, Bilaspur ",Engineering,3,ChatGPT,3.2,"Doubt Solving, Resume Writing",1,0,No,Copilot,10,Yes,Chhattisgarh,Laptop,Medium
Anika,"BH College, Barpeta ",Commerce,1,Copilot,3.6,"MCQ Practice, Projects",1,1,Yes,Other,10,No,Assam,Tablet,Medium
Ira,"The Modern College, Imphal ",Science,1,Gemini,2.8,"Assignments, Coding Help",5,-1,Yes,Other,1,No,Manipur,Laptop,Poor
Meera,"KJ Somaiya Institute of Management, Mumbai ",Management,1,"ChatGPT, Gemini, Copilot",3.1,Content Writing,3,-3,Yes,Other,1,Yes,Maharashtra,Laptop,High
Saanvi,"LNCT Group of Colleges -[LNCT], Bhopal ",Medical,4,ChatGPT,2.0,Content Writing,1,-2,Yes,Other,7,Yes,Madhya pradesh,Tablet,Medium
Navya,Indian Institute of Technology ,Engineering,3,"ChatGPT, Gemini, Copilot",1.5,"Assignments, Coding Help",2,0,Yes,Other,7,Yes,Goa,Tablet,High
Aarohi,"Gaya College, Gaya ",Science,3,Gemini,1.2,Learning new topics,3,3,Yes,Gemini,7,No,Bihar,Laptop,High
Prisha,"CMJ University, Ri-Bhoi ",Management,2,"ChatGPT, Copilot",0.7,"Assignments, Coding Help",2,-2,No,Gemini,2,No,Meghalaya,Laptop,Medium
Ishita,Indian Institute of Horticultural Research ,Agriculture,1,Gemini,4.2,"Exam Prep, Notes",2,0,Yes,Gemini,8,Yes,Karnataka,Laptop,High
Rakhi,"PWS College of Arts & Commerce, Nagpur ",Arts,2,"ChatGPT, Copilot",3.6,"Assignments, Coding Help",1,3,No,ChatGPT,5,No,Maharashtra,Mobile,Poor
Ramya,"SRM University, Amaravathi ",Arts,2,Copilot,1.4,"Doubt Solving, Resume Writing",4,0,Yes,Gemini,10,Yes,Andhra pradesh,Laptop,Medium
Sneha,Manav Bharti University ,Science,2,"Gemini, Midjourney",1.6,Content Writing,1,1,Yes,Copilot,1,No,Himachal pradesh,Laptop,Medium
Divya,"Medi-Caps University, Indore ",Agriculture,1,"Gemini, Midjourney",0.9,"Assignments, Coding Help",2,-3,Yes,Other,8,No,Madhya pradesh,Laptop,Poor
Neha,"Indira Gandhi Technological And Medical Sciences University, Ziro ",Commerce,1,"Gemini, Midjourney",0.7,"Assignments, Coding Help",3,0,Yes,Copilot,4,No,Arunachal pradesh,Laptop,Poor
Pooja,Garware Institute of Career Education and Development ,Agriculture,2,Copilot,1.6,"Assignments, Coding Help",2,-2,Yes,ChatGPT,2,Yes,Maharashtra,Laptop,High
Kavya,Malla Reddy University ,Agriculture,2,"Gemini, Midjourney",2.7,"Exam Prep, Notes",5,0,Yes,ChatGPT,6,Yes,Telangana,Tablet,High
Aishwarya,Anugrah Memorial College ,Science,3,Gemini,1.5,"Doubt Solving, Resume Writing",5,-1,Yes,ChatGPT,1,Yes,Bihar,Laptop,Medium
Shreya,"Faculty of Management Studies, Manav Rachna International ",Hotel-management,1,"ChatGPT, Gemini, Copilot",3.0,"Exam Prep, Notes",4,3,Yes,Copilot,8,No,Haryana,Laptop,Medium
Nandini,Rajagiri Business School ,Management,3,"ChatGPT, Gemini, Copilot",1.2,Learning new topics,2,-1,No,Copilot,5,Yes,Kerala,Mobile,Medium
Aarav,Institute of Rural Management ,Management,3,ChatGPT,4.1,Learning new topics,3,1,No,Other,6,Yes,Gujarat,Tablet,Poor
Vivaan,National Institute of Technology ,Engineering,2,Gemini,3.1,"Assignments, Coding Help",2,2,No,ChatGPT,9,Yes,Jammu,Laptop,Poor
Aditya,"St Teresa's College (Autonomous), Ernakulam ",Commerce,2,"ChatGPT, Copilot",3.5,Content Writing,3,0,Yes,ChatGPT,7,Yes,Kerala,Tablet,Poor
Vihaan,"Gurugram University, Gurgaon ",Science,3,"ChatGPT, Copilot",3.6,Learning new topics,3,0,No,ChatGPT,2,No,Haryana,Mobile,Medium
Arjun,Acharya Bangalore B-School ,Commerce,2,"ChatGPT, Gemini, Copilot",0.7,"Exam Prep, Notes",1,-1,Yes,Other,2,No,Karnataka,Laptop,Poor
Sai,"Doon University, Dehradun ",Commerce,4,Copilot,3.0,"Exam Prep, Notes",2,-1,Yes,ChatGPT,10,Yes,Uttarakhand,Tablet,High
Reyansh,Mahatma Jyoti Rao Phoole University ,Law,4,"ChatGPT, Copilot",2.7,Learning new topics,5,1,Yes,Other,6,Yes,Rajasthan,Mobile,High
Ayaan,"Adwaita Malla Barman Smriti Mahavidyalaya (AMBS), Amarpur ",Science,3,"ChatGPT, Gemini, Copilot",3.0,"Assignments, Coding Help",5,-2,Yes,ChatGPT,8,Yes,Tripura,Tablet,Medium
Krishna,Pt. Ravishankar Shukla University ,Management,4,Gemini,4.0,"Assignments, Coding Help",4,3,Yes,Other,5,No,Chhattisgarh,Mobile,Medium
Ishaan,Govind Ballabh Pant University of Agriculture and ,Science,3,Copilot,3.1,"MCQ Practice, Projects",5,-3,No,Copilot,5,No,Uttarakhand,Laptop,Poor
Rudra,Rai Technology University ,Agriculture,1,"Gemini, Midjourney",1.5,Learning new topics,3,-3,No,Gemini,9,Yes,Karnataka,Tablet,High
Dhruv,"Dimapur Government College, Dimapur ",Commerce,3,"Gemini, Midjourney",3.0,"Exam Prep, Notes",5,3,Yes,Other,10,No,Nagaland,Laptop,High
Kabir,"Marwari College, Ranchi ",Commerce,4,Copilot,0.6,"Exam Prep, Notes",1,0,No,ChatGPT,6,Yes,Jharkhand,Laptop,High
Atharv,Nehru College of Engineering and Research Centre ,Management,3,ChatGPT,0.7,"MCQ Practice, Projects",2,3,No,Other,9,No,Kerala,Tablet,Poor
Om,"DY Patil University, Navi Mumbai ",Science,4,"ChatGPT, Gemini, Copilot",3.1,"Exam Prep, Notes",1,1,Yes,Copilot,6,No,Maharashtra,Mobile,High
Anaya,Sri Guru Granth Sahib World University ,Law,2,Gemini,3.9,"Assignments, Coding Help",3,0,Yes,Copilot,2,Yes,Punjab,Tablet,Medium
Siya,"Swami Vivekanand University, Sagar ",Hotel-management,3,Gemini,4.0,"Exam Prep, Notes",3,-2,No,Other,2,Yes,Madhya pradesh,Tablet,Medium
Diya,International Institute of Management Sciences ,Hotel-management,4,"ChatGPT, Gemini, Copilot",0.7,"Exam Prep, Notes",2,0,No,Other,10,Yes,West bengal,Tablet,Poor
Myra,Mahatma Gandhi University ,Science,3,ChatGPT,4.3,Learning new topics,4,2,Yes,Gemini,10,No,Kerala,Mobile,Poor
Aadhya,"PDM University, Bahadurgarh, Bahadurgarh ",Medical,4,"Gemini, Midjourney",2.2,Learning new topics,5,1,Yes,ChatGPT,6,Yes,Haryana,Mobile,Poor
Riya,Indira Gandhi Institute of Medical Sciences ,Medical,3,Copilot,1.0,"Doubt Solving, Resume Writing",3,-2,No,ChatGPT,4,Yes,Bihar,Tablet,Medium
Pari,Sri Ramakrishna Mission Vidyalaya College of Arts ,Commerce,3,Copilot,2.7,"Doubt Solving, Resume Writing",4,3,Yes,ChatGPT,7,No,Tamil nadu,Tablet,High
Anika,Pramukhswami Medical College ,Science,2,"ChatGPT, Gemini, Copilot",2.9,Learning new topics,2,0,Yes,Gemini,3,Yes,Gujarat,Laptop,High
Ira,National University of Advanced Legal Studies ,Law,4,"ChatGPT, Copilot",4.5,"Exam Prep, Notes",3,-1,Yes,ChatGPT,3,Yes,Kerala,Mobile,Poor
Meera,Institute for Excellence in Higher Education ,Commerce,2,"Gemini, Midjourney",2.9,Content Writing,5,-1,No,ChatGPT,10,Yes,Madhya pradesh,Tablet,Medium
Saanvi,"BLDE University, Bijapur ",Medical,3,"ChatGPT, Gemini, Copilot",3.4,"Exam Prep, Notes",4,2,No,Other,9,Yes,Karnataka,Laptop,Poor
Navya,"V. O. Chidambaram College, Thoothukkudi ",Science,4,Copilot,4.0,"MCQ Practice, Projects",4,-2,Yes,Other,5,No,Tamil nadu,Laptop,Poor
Aarohi,Govind Ballabh Pant University of Agriculture and ,Science,4,"ChatGPT, Copilot",1.1,"Exam Prep, Notes",3,1,Yes,ChatGPT,3,Yes,Uttarakhand,Laptop,Medium
Prisha,"Durga Mahavidyalaya, Raipur ",Arts,3,Gemini,0.6,"MCQ Practice, Projects",3,3,No,ChatGPT,10,Yes,Chhattisgarh,Mobile,Poor
Ishita,"St Bede's College, Shimla ",Management,4,Gemini,4.2,Content Writing,3,-1,Yes,Copilot,7,Yes,Himachal pradesh,Tablet,Poor
Rakhi,The Neotia University ,Management,3,Gemini,0.5,"MCQ Practice, Projects",4,-2,Yes,Copilot,2,Yes,West bengal,Mobile,High
Ramya,GEMS B School ,Hotel-management,4,ChatGPT,2.9,"Doubt Solving, Resume Writing",2,2,No,ChatGPT,6,No,Karnataka,Laptop,Medium
Sneha,V.M. Salgaocar Institute of International Hospitality Education ,Science,4,Gemini,2.5,"Doubt Solving, Resume Writing",3,2,No,Other,7,No,Goa,Tablet,Medium
Divya,"Rungta Group of Institutions Raipur Campus, Raipur ",Pharmacy,2,ChatGPT,3.2,"Doubt Solving, Resume Writing",3,0,No,Gemini,9,Yes,Chhattisgarh,Tablet,High
Neha,"College of Agricultural Biotechnology, Pune ",Agriculture,2,Copilot,1.2,"Doubt Solving, Resume Writing",5,3,Yes,Gemini,10,Yes,Maharashtra,Mobile,Medium
Pooja,RJ School of Management Studies ,Commerce,3,ChatGPT,2.8,"MCQ Practice, Projects",1,2,No,ChatGPT,5,Yes,Orissa,Mobile,High
Kavya,"Sri Ramachandra Medical College, Chennai ",Medical,2,ChatGPT,2.3,"Assignments, Coding Help",1,2,Yes,ChatGPT,9,No,Tamil nadu,Tablet,Poor
Aishwarya,Sarosh Institute of Hotel Administration ,Hotel-management,3,ChatGPT,2.0,"MCQ Practice, Projects",3,0,Yes,Copilot,5,Yes,Karnataka,Laptop,High
Shreya,Dr Babasaheb Ambedkar Open University ,Science,4,"ChatGPT, Gemini, Copilot",4.1,"Doubt Solving, Resume Writing",5,-2,No,Other,10,Yes,Gujarat,Mobile,Medium
Nandini,National Institute of Technology ,Science,1,"ChatGPT, Copilot",3.2,Learning new topics,4,2,No,ChatGPT,10,No,Andhra pradesh,Tablet,Poor
Aarav,Chitkara University ,Pharmacy,2,"ChatGPT, Copilot",2.2,"Exam Prep, Notes",5,3,No,Copilot,10,Yes,Punjab,Laptop,Medium
Vivaan,Bhavan's Tripura College of Science and Technology ,Management,3,"Gemini, Midjourney",0.7,"Exam Prep, Notes",4,0,No,Gemini,7,No,Tripura,Laptop,Poor
Aditya,T.K.M. College of Arts and Science ,Commerce,4,Copilot,2.4,"Doubt Solving, Resume Writing",4,3,Yes,Copilot,9,Yes,Kerala,Laptop,High
Vihaan,"Government Degree College, Baramulla ",Science,3,Gemini,1.5,"Doubt Solving, Resume Writing",5,0,Yes,Other,4,No,Jammu,Mobile,Poor
Arjun,Aditi Mahavidyalaya ,Arts,3,Gemini,0.8,Content Writing,4,-2,Yes,Other,8,No,Delhi ncr,Laptop,Medium
Sai,Panjab University ,Hotel-management,3,Copilot,3.0,"Doubt Solving, Resume Writing",4,-1,No,Copilot,6,Yes,Haryana,Mobile,Poor
Reyansh,"KVASU, College of Veterinary and Animal Sciences ",Agriculture,1,"Gemini, Midjourney",2.0,"Assignments, Coding Help",1,-2,No,ChatGPT,10,No,Kerala,Tablet,Medium
Ayaan,"RRK Samithi College of Pharmacy, Bidar ",Pharmacy,4,"Gemini, Midjourney",3.7,Learning new topics,3,-1,Yes,Gemini,3,Yes,Karnataka,Laptop,High
Krishna,International Institute of Hotel Management ,Hotel-management,2,ChatGPT,4.1,"MCQ Practice, Projects",1,2,Yes,Gemini,9,No,Telangana,Mobile,High
Ishaan,"Assam University, Silchar ",Law,3,Gemini,2.8,"Doubt Solving, Resume Writing",1,-1,Yes,Copilot,6,Yes,Assam,Laptop,High
Rudra,Annie Besant College of Engineering And Management ,Law,4,"ChatGPT, Gemini, Copilot",2.6,"Doubt Solving, Resume Writing",4,-3,Yes,ChatGPT,7,No,Uttar pradesh,Laptop,Poor
Dhruv,Mewar University ,Medical,2,"Gemini, Midjourney",3.1,Learning new topics,1,3,No,ChatGPT,7,No,Rajasthan,Tablet,High
Kabir,"The Modern College, Imphal ",Science,4,"Gemini, Midjourney",1.9,"Doubt Solving, Resume Writing",5,0,Yes,Copilot,5,No,Manipur,Mobile,Medium
Atharv,Institute of Hotel Management and Catering Technology ,Hotel-management,1,"ChatGPT, Copilot",0.6,"Doubt Solving, Resume Writing",4,-2,No,Copilot,7,Yes,Dadra,Laptop,High
Om,Institute of Clinical Research ,Medical,1,"ChatGPT, Copilot",2.1,"MCQ Practice, Projects",5,-3,Yes,Gemini,4,Yes,Karnataka,Tablet,Medium
Anaya,"St Joseph's College, Kohima ",Management,1,"ChatGPT, Copilot",3.7,"Assignments, Coding Help",1,1,No,ChatGPT,2,No,Nagaland,Laptop,Medium
Siya,Career Point University ,Agriculture,2,Gemini,2.0,"Assignments, Coding Help",4,1,No,Other,9,Yes,Rajasthan,Mobile,Medium
Diya,Ramaiah Institute of Technology ,Engineering,2,"ChatGPT, Gemini, Copilot",1.4,Learning new topics,3,-1,No,ChatGPT,6,Yes,Karnataka,Tablet,Poor
Myra,Jaipur National University ,Commerce,2,Copilot,3.4,"Assignments, Coding Help",1,0,No,ChatGPT,6,Yes,Rajasthan,Laptop,Poor
Aadhya,"Institute of Distance Education, Rajiv Gandhi University, Itanagar ",Science,1,ChatGPT,3.1,"Assignments, Coding Help",3,1,Yes,Other,1,No,Arunachal pradesh,Laptop,Poor
Riya,Institute of Management Study ,Science,3,"ChatGPT, Gemini, Copilot",4.2,"Exam Prep, Notes",5,2,Yes,Other,9,Yes,West bengal,Mobile,Medium
Pari,"Ludhiana College of Engineering and Technology, Ludhiana ",Commerce,2,Copilot,4.1,"MCQ Practice, Projects",4,3,No,ChatGPT,10,Yes,Punjab,Tablet,High
Anika,Sant Longowal Institute of Engineering and Technology ,Arts,3,ChatGPT,4.5,"Assignments, Coding Help",4,-2,Yes,Gemini,9,No,Punjab,Laptop,Medium
Ira,KIIT School of Rural Management ,Management,2,Copilot,1.8,"Doubt Solving, Resume Writing",2,1,No,Other,2,No,Orissa,Tablet,Medium
Meera,"Banasthali Vidyapith, Jaipur ",Science,1,Copilot,2.6,"Doubt Solving, Resume Writing",5,0,Yes,Other,7,Yes,Rajasthan,Laptop,Medium
Saanvi,Mangalayatan University ,Medical,3,"ChatGPT, Gemini, Copilot",0.9,Content Writing,2,2,Yes,Other,7,No,Uttar pradesh,Laptop,High
Navya,"ICFAI University, Raipur ",Engineering,2,"Gemini, Midjourney",3.5,Content Writing,5,3,Yes,Gemini,9,No,Chhattisgarh,Laptop,High
Aarohi,Janardan Rai Nagar Rajasthan Vidyapeeth University ,Law,2,"ChatGPT, Gemini, Copilot",3.7,"MCQ Practice, Projects",4,2,Yes,Other,5,No,Rajasthan,Mobile,Medium
Prisha,Guru Jambheshwar University of Science and Technology ,Pharmacy,1,"ChatGPT, Copilot",3.6,Content Writing,4,2,Yes,Other,9,Yes,Haryana,Laptop,High
Ishita,"Amity University, Kolkata ",Law,1,"Gemini, Midjourney",3.2,Learning new topics,1,3,No,Other,6,No,West bengal,Laptop,Poor
Rakhi,RNB Global University ,Agriculture,1,"Gemini, Midjourney",2.4,"MCQ Practice, Projects",1,2,Yes,Other,6,Yes,Rajasthan,Laptop,Medium
Ramya,IMS Unison University ,Law,4,"ChatGPT, Copilot",4.4,"MCQ Practice, Projects",3,1,Yes,ChatGPT,1,No,Uttarakhand,Tablet,Medium
Sneha,"Government Champhai College, Champhai ",Arts,2,"ChatGPT, Copilot",3.0,"Doubt Solving, Resume Writing",4,0,No,Copilot,9,Yes,Mizoram,Tablet,Medium
Divya,Shri Shankaracharya Institute of Professional Management and ,Commerce,1,ChatGPT,0.7,"Exam Prep, Notes",5,3,No,ChatGPT,3,Yes,Chhattisgarh,Tablet,High
Neha,"PWS College of Arts & Commerce, Nagpur ",Arts,2,Copilot,1.4,"MCQ Practice, Projects",1,0,Yes,Copilot,2,Yes,Maharashtra,Tablet,Medium
Pooja,Birla Institute of Technology and Science ,Arts,4,"ChatGPT, Gemini, Copilot",3.4,Content Writing,3,3,No,Copilot,7,Yes,Goa,Laptop,Poor
Kavya,Darbhanga College of Engineering ,Engineering,2,"Gemini, Midjourney",2.6,Learning new topics,1,3,Yes,ChatGPT,5,Yes,Bihar,Mobile,High
Aishwarya,Nirma University ,Commerce,4,"ChatGPT, Copilot",2.5,Content Writing,5,-1,Yes,ChatGPT,8,Yes,Gujarat,Mobile,Poor
Shreya,Atal Bihari Vajpayee Hindi Vishwavidyalaya ,Medical,3,Gemini,3.5,"Exam Prep, Notes",1,-1,No,ChatGPT,4,No,Madhya pradesh,Mobile,Medium
Nandini,"OPJS University, Churu ",Pharmacy,3,"ChatGPT, Gemini, Copilot",1.9,Learning new topics,5,-3,No,Gemini,2,No,Rajasthan,Mobile,Poor
Aarav,"Amity University, Noida ",Science,2,"ChatGPT, Copilot",1.2,"Exam Prep, Notes",1,-2,No,Copilot,2,Yes,Uttar pradesh,Tablet,Poor
Vivaan,Birla Institute of Technology ,Management,2,"ChatGPT, Gemini, Copilot",2.3,"Assignments, Coding Help",4,-1,Yes,Copilot,8,Yes,Jharkhand,Laptop,High
Aditya,Purnea College of Engineering ,Engineering,2,Copilot,2.0,"Assignments, Coding Help",4,-2,Yes,Other,9,Yes,Bihar,Mobile,Medium
Vihaan,Institute of Bioresources and Sustainable Development ,Science,2,"Gemini, Midjourney",1.9,"MCQ Practice, Projects",3,-3,No,ChatGPT,9,Yes,Manipur,Laptop,High
Arjun,"College of Veterinary Science, Tirupati ",Agriculture,3,Copilot,2.2,"Assignments, Coding Help",3,1,No,ChatGPT,5,No,Andhra pradesh,Laptop,Medium
Sai,"Faculty of Pharmaceutical Sciences, Shoolini University, Solan ",Pharmacy,2,ChatGPT,3.5,"Doubt Solving, Resume Writing",4,2,No,Gemini,4,Yes,Himachal pradesh,Tablet,Poor
Reyansh,National Institute of Technology ,Engineering,1,"ChatGPT, Gemini, Copilot",1.4,"MCQ Practice, Projects",5,-1,No,Gemini,9,Yes,Orissa,Laptop,Poor
Ayaan,Directorate of Sorghum Research ,Science,3,Copilot,3.2,Learning new topics,5,-3,No,Gemini,8,No,Telangana,Laptop,Medium
Krishna,"Uttaranchal University, Dehradun ",Management,2,"ChatGPT, Copilot",1.2,"Assignments, Coding Help",3,0,Yes,Other,3,No,Uttarakhand,Mobile,Poor
Ishaan,Birsa Agricultural University ,Agriculture,1,"ChatGPT, Gemini, Copilot",1.7,"Assignments, Coding Help",5,-2,Yes,Gemini,5,No,Jharkhand,Tablet,High
Rudra,"Sri Manakula Vinayagar Polytechnic College-[SMVPC], Pondicherry ",Engineering,2,Copilot,4.0,"MCQ Practice, Projects",5,3,Yes,ChatGPT,9,Yes,Puducherry,Tablet,Poor
Dhruv,Indian Institute of Business Management ,Management,2,Copilot,3.7,"Doubt Solving, Resume Writing",2,3,No,ChatGPT,10,No,Bihar,Mobile,High
Kabir,"Kalasalingam Academy of Research and Education, Krishnankovil ",Hotel-management,3,ChatGPT,2.2,Learning new topics,4,-2,No,Copilot,7,Yes,Tamil nadu,Mobile,Poor
Atharv,"Amity University, Gwalior ",Science,3,"ChatGPT, Copilot",0.9,Content Writing,4,-1,Yes,Other,7,No,Madhya pradesh,Laptop,Poor
Om,"St. Xavier's College, Mumbai ",Law,2,Gemini,3.1,"MCQ Practice, Projects",4,-3,Yes,Gemini,4,Yes,Maharashtra,Mobile,Medium
Anaya,"SCMS Cochin School of Business, Cochin ",Management,4,ChatGPT,2.1,Content Writing,4,1,No,ChatGPT,5,No,Kerala,Mobile,High
Siya,"Nizam College, Hyderabad ",Commerce,2,Gemini,1.1,Learning new topics,2,1,No,Copilot,6,Yes,Telangana,Mobile,Medium
Diya,"Department of Laws Panjab University, Chandigarh ",Law,2,ChatGPT,2.8,Learning new topics,2,1,No,Gemini,10,No,Chandigarh,Laptop,High
Myra,"RP Sharma Institute of Technology, Patna ",Engineering,4,"Gemini, Midjourney",2.5,Learning new topics,2,1,No,ChatGPT,9,Yes,Bihar,Tablet,High
Aadhya,Shivaji University ,Agriculture,4,Gemini,0.9,"Exam Prep, Notes",3,1,Yes,ChatGPT,5,Yes,Maharashtra,Mobile,Poor
Riya,"Mulund College of Commerce, Mumbai ",Commerce,2,"Gemini, Midjourney",0.9,Learning new topics,2,-3,Yes,Other,9,Yes,Maharashtra,Laptop,Medium
Pari,Indian Academy Group of Institutions ,Commerce,2,"Gemini, Midjourney",3.7,"Doubt Solving, Resume Writing",4,2,Yes,Copilot,6,No,Karnataka,Laptop,Medium
Anika,Acharya Nagarjuna University ,Pharmacy,4,"Gemini, Midjourney",4.2,Content Writing,2,-2,Yes,Other,4,Yes,Andhra pradesh,Tablet,Poor
Ira,"Tagore Government College of Education, Port Blair ",Arts,1,"ChatGPT, Copilot",1.9,Learning new topics,1,0,No,Gemini,8,No,Andaman,Mobile,Medium
Meera,International School of Business and Research ,Commerce,4,Copilot,2.8,"Exam Prep, Notes",2,-3,Yes,Copilot,3,Yes,Karnataka,Mobile,Poor
Saanvi,"Amazon Institute of Hotel Tourism and Management, ",Hotel-management,3,"ChatGPT, Gemini, Copilot",2.9,"Assignments, Coding Help",5,2,Yes,ChatGPT,4,No,Uttarakhand,Tablet,High
Navya,Indian Institute of Technology ,Science,1,Gemini,3.9,"Exam Prep, Notes",3,1,No,ChatGPT,1,No,West bengal,Laptop,Medium
Aarohi,Chhatrapati Shahu Ji Maharaj University ,Commerce,3,Gemini,2.7,"Assignments, Coding Help",4,-3,Yes,Gemini,6,Yes,Uttar pradesh,Laptop,High
Prisha,"Shanti Devi Arya Mahila College, Gurdaspur ",Commerce,3,"Gemini, Midjourney",0.6,"Exam Prep, Notes",1,-1,Yes,ChatGPT,2,Yes,Punjab,Mobile,High
Ishita,"Govt Degree College Women, Srikakulam ",Medical,1,"Gemini, Midjourney",1.6,"Doubt Solving, Resume Writing",5,3,Yes,Other,7,No,Andhra pradesh,Tablet,High
Rakhi,"Ecole Hoteliere Lavasa, Pune ",Hotel-management,1,"Gemini, Midjourney",3.9,Content Writing,1,-1,No,Gemini,4,Yes,Maharashtra,Tablet,High
Ramya,"SAMS Institute of Hotel Management, Varanasi ",Hotel-management,1,Gemini,1.3,"Doubt Solving, Resume Writing",3,0,No,Other,3,No,Uttar pradesh,Tablet,Medium
Sneha,Kasturba Gandhi Degree and PG College for ,Arts,3,"ChatGPT, Copilot",3.2,Learning new topics,4,-1,No,Other,7,Yes,Telangana,Tablet,Poor
Divya,"Besant Theosophical College, Madanapalle ",Agriculture,1,"ChatGPT, Copilot",1.0,"Assignments, Coding Help",3,-2,Yes,Copilot,7,No,Andhra pradesh,Mobile,Poor
Neha,Daulat Ram College ,Science,2,"ChatGPT, Gemini, Copilot",3.4,"Assignments, Coding Help",2,2,Yes,Gemini,3,No,Delhi ncr,Laptop,Poor
Pooja,National Institute of Technology ,Science,1,"Gemini, Midjourney",3.4,"Assignments, Coding Help",1,2,No,Gemini,5,Yes,Orissa,Tablet,Medium
Kavya,"St Thomas College Ranny, Pathanamthitta ",Hotel-management,1,"Gemini, Midjourney",3.2,"Doubt Solving, Resume Writing",3,1,Yes,Gemini,1,Yes,Kerala,Mobile,Medium
Aishwarya,Sridora Caculo College of Commerce and Management Studies ,Commerce,3,"ChatGPT, Copilot",3.1,"Assignments, Coding Help",4,2,Yes,Other,7,Yes,Goa,Tablet,Poor
Shreya,IAS Academy ,Medical,3,Gemini,4.1,"Doubt Solving, Resume Writing",3,-2,No,Copilot,9,Yes,West bengal,Mobile,High
Nandini,J.S. University ,Agriculture,3,ChatGPT,0.7,"Assignments, Coding Help",5,-2,No,Other,8,No,Uttar pradesh,Mobile,High
Aarav,Sri Satya Sai University of Technology & ,Hotel-management,2,"Gemini, Midjourney",3.7,"Doubt Solving, Resume Writing",1,-1,No,Copilot,4,No,Madhya pradesh,Mobile,Medium
Vivaan,Indira Gandhi Medial College and Research Institute ,Medical,2,"ChatGPT, Gemini, Copilot",1.3,"MCQ Practice, Projects",1,0,Yes,ChatGPT,7,Yes,Puducherry,Tablet,Medium
Aditya,Shri Rawatpura Sarkar University ,Medical,4,"Gemini, Midjourney",1.8,"Exam Prep, Notes",3,2,Yes,Gemini,10,No,Chhattisgarh,Laptop,Medium
Vihaan,"Teerthanker Mahaveer University, College of Architecture ",Medical,4,ChatGPT,4.5,"MCQ Practice, Projects",2,2,No,Copilot,1,Yes,Uttar pradesh,Tablet,Medium
Arjun,Osmania University ,Science,1,Copilot,0.8,"MCQ Practice, Projects",4,0,Yes,ChatGPT,7,No,Telangana,Mobile,Poor
Sai,Vaikunth Mehta National Institute of Co-Operative Management ,Management,1,"ChatGPT, Copilot",3.7,Content Writing,4,-1,No,Copilot,4,Yes,Maharashtra,Laptop,Poor
Reyansh,"Amity University, Kolkata ",Engineering,2,"ChatGPT, Gemini, Copilot",3.2,Learning new topics,1,1,Yes,Other,3,No,West bengal,Mobile,High
Ayaan,"Faculty of Pharmaceutical Sciences, PDM University, Bahadurgarh ",Pharmacy,2,ChatGPT,3.0,"Assignments, Coding Help",1,-1,Yes,Copilot,9,No,Haryana,Mobile,Medium
Krishna,ICFAI Business School ,Management,4,Gemini,1.0,"Exam Prep, Notes",1,-2,Yes,Copilot,8,Yes,Uttarakhand,Laptop,Medium
Ishaan,"Hindu College, New Delhi ",Commerce,4,"ChatGPT, Gemini, Copilot",4.0,"Exam Prep, Notes",3,3,Yes,ChatGPT,2,No,Delhi ncr,Tablet,Poor
Rudra,Indian Law Institute ,Law,2,Copilot,1.8,"Assignments, Coding Help",3,0,No,ChatGPT,4,Yes,Delhi ncr,Laptop,Poor
Dhruv,Bangalore Medical College and Research Institute ,Science,3,"ChatGPT, Copilot",0.8,"Assignments, Coding Help",1,-3,Yes,ChatGPT,8,Yes,Karnataka,Mobile,Poor
Kabir,"Government Degree College For Women, Baramulla ",Commerce,3,"Gemini, Midjourney",3.4,Learning new topics,2,-2,Yes,ChatGPT,2,Yes,Jammu,Tablet,Medium
Atharv,Chandigarh University ,Medical,4,"ChatGPT, Copilot",4.0,"Doubt Solving, Resume Writing",5,3,No,Copilot,3,Yes,Punjab,Mobile,Medium
Om,"University Business School, Panjab University ",Management,3,ChatGPT,3.1,Learning new topics,3,0,Yes,Gemini,10,No,Haryana,Tablet,Poor
Anaya,"Banasthali Vidyapith, Jaipur ",Agriculture,1,"Gemini, Midjourney",2.6,"MCQ Practice, Projects",3,2,No,Other,6,No,Rajasthan,Mobile,Poor
Siya,Nalanda Open University ,Agriculture,4,Copilot,1.9,"MCQ Practice, Projects",5,1,No,Gemini,5,Yes,Bihar,Tablet,Poor
Diya,"Mahatma Gandhi College, Trivandrum ",Arts,3,"ChatGPT, Copilot",4.0,"Assignments, Coding Help",3,1,Yes,Other,4,No,Kerala,Tablet,Poor
